"sampling_size","seed","rf_cum_3_day_p_value","temperature_p_value","ws_p_value","deg_from_north_p_value","dow_p_value","working_days_p_value","hour_p_value","pre_peak_hour_p_value","pm10_p_value","duration","trial_number","mean_p_value"
2000,3927,0.827921124034065,0.782804365658742,0.493802536984148,0.637873715563005,0.615331320542079,0.615331320542087,0.682031255291827,0.980915998553199,0.874060363206028,156.550956010818,34,0.72334133337502
2500,3927,0.951082872271782,0.562297856166674,0.444183674964661,0.969754166057409,0.432221413858272,0.432221413858282,0.557468353487977,0.735484626157633,0.762502539339897,210.28151011467,35,0.64969076846251
5000,3927,0.999991274286108,0.957371706108713,0.417942362172906,0.999999055321704,0.971649230941766,0.988970946812297,0.208153101854912,0.170263593656628,0.990632014365866,357.886752128601,36,0.744997031724544
100,4404,0.888735955406871,0.450337967190482,0.973667971571815,0.923064943260278,0.854382147282209,0.970080323265382,0.534467333859071,1,0.911534875640793,20.2511491775513,37,0.834030168608545
500,4404,0.406824020688175,0.19745880146829,0.991931536547738,0.537583534096723,0.942945272359715,1,0.735774148106098,0.135836098724926,0.115541483125017,45.0153069496155,38,0.562654988346298
1000,4404,0.995354460661791,0.297932060657589,0.916151248960209,0.0541152320701884,0.967718381195423,0.967718381195421,0.962120392624205,0.999949086586403,0.291265615182494,77.5852098464966,39,0.716924984348192
2000,4404,0.91842975278053,0.346906169941924,0.527402402356733,0.225652705006559,0.895384945908261,1,0.75882497601771,0.999485309063479,0.243497552597848,157.452188968658,40,0.657287090408116
2500,4404,0.976776556185207,0.331465507927521,0.691548253070084,0.169373552097967,0.584220902395941,1,0.816749465591546,0.999466334934769,0.659445561683027,195.153880119324,41,0.692116237098451
5000,4404,0.999436743597107,0.894370179158325,0.52760502333553,0.533420680272205,0.848860718079329,0.896617109489456,0.396174870204666,1,0.653070404595944,255.581959009171,42,0.74995063652584
100,9825,0.933503165201892,0.648440699859588,0.14213583063777,0.792698239260565,0.998018824542757,0.999980770607668,0.153037987742716,0.966807842103701,0.996184762637399,28.5702259540558,43,0.736756458066006
500,9825,0.954729856051246,0.913168365965416,0.948286179241217,0.380453130170007,0.93886992652986,0.958884092979137,0.917762671602671,0.998026627224291,0.481548804658288,48.8475089073181,44,0.832414406046904
1000,9825,0.977997727707661,0.535162250968868,0.883073551209306,0.248106483323863,0.939872839101698,0.999999999999998,0.975415159409433,0.986091116466346,0.338030906274512,84.2888901233673,45,0.764861114940187
2000,9825,0.576765171509447,0.372007733315288,0.855489141271057,0.688532279483782,0.999832292626917,0.99998588466747,0.387339561894378,0.995315150300584,0.392309917143532,144.77709197998,46,0.696397459134717
2500,9825,0.459117241359965,0.407656158946636,0.891872546820272,0.983469050408238,0.986537804917744,0.999958282765895,0.201668517109489,0.999999999044006,0.283105133953055,175.700026035309,47,0.690376081702811
5000,9825,0.232163392272805,0.428118916110605,0.604244064148003,0.969150981162009,0.997782219293274,0.999999969697676,0.713435199661702,0.850461308270139,0.909289030597725,298.540363073349,48,0.744960564579326
100,9698,0.999702313735722,0.604578910468289,0.0687447690878089,0.150232152784127,0.383442195485307,0.999996240563116,0.905000698750231,0.999987896644389,0.509937998170627,28.3368818759918,49,0.624624797298846
500,9698,0.800096960827808,0.153829297224199,0.772774181646324,0.0924715197133268,0.774568254577056,0.806633392740213,0.0244536388864003,0.999999999999997,0.0108537449413235,43.4731249809265,50,0.492853443395183
1000,9698,0.581331311605786,0.815418571998078,0.0776495546962506,0.689564810656158,0.69454270305995,0.99999999991172,0.583889860565553,0.988752780751279,0.0871143667402601,74.308226108551,51,0.613140439998337
2000,9698,0.985156060469909,0.866559727027646,0.578924860757287,0.923235010997196,0.868651089865766,1,0.96662382842052,0.939383468482936,0.995015743338197,126.032562017441,52,0.902616643262162
2500,9698,0.999952704166672,0.685010413163525,0.259275228746981,0.729644559370842,0.945950835917898,0.999991014044613,0.999737542119408,0.921069097909999,0.988559910570272,174.240166902542,53,0.836576811778912
