"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
0.2,8.2,2.3,15,2,1,0,0,7.1
11,14.1000003815,2.7000000477,99,5,1,12,0,9.1000003815
6,15.3000001907,5.1999998093,0,2,1,11,0,44.2000007629
0.2,2.5,0.8999999762,5,4,1,6,1,70.4000015259
0.4,7.6,1.1,152,1,1,6,1,26.6
0.6,7.5,1.2,5,7,0,22,0,29.2
0,13.5,1.5,154,3,1,12,0,21.3999996185
11.6,13.8000001907,2.5,171,2,1,13,0,9.1000003815
1.2,10.7,3.7,4,5,1,11,0,10.3
0.2,16.7,4.1,160,6,0,16,1,13
11,13.6000003815,1.8999999762,161,5,1,15,1,10.8999996185
2.2,15.1000003815,5.3000001907,14,1,1,13,0,15.6999998093
1,12,0.6000000238,58,4,1,4,0,11
11.8,9.8999996185,4.4000000954,149,6,0,20,0,14.1999998093
3,20.1000003815,2.5,129,4,1,0,0,9.5
0,20.5,4,169,2,1,19,0,18.7000007629
0,19.5,3,164,1,1,2,0,7.9000000954
0.2,24.3999996185,1,1,3,1,6,1,57.9000015259
2.2,25.1,1.5,140,2,1,23,0,25.8
1.8,16.7000007629,5,87,1,1,14,0,29.7999992371
0.2,10.3999996185,0.3000000119,69,7,0,10,0,13.1999998093
6,17.2999992371,3.4000000954,9,2,1,16,1,22.5
0,14.6999998093,4.9000000954,25,6,0,7,1,11.6999998093
13.4,12.3,2.3,163,7,0,14,0,8.2
0.2,12.8000001907,1.5,18,1,1,6,1,18.7000007629
3,23.3999996185,0.8000000119,76,2,1,3,0,24
0,21,2.5,147,1,1,22,0,19.3999996185
0,18.7,3.8,29,1,1,18,0,35.8
3,13.5,3.0999999046,4,3,1,23,0,3.9000000954
3.6,13.6,0.3,123,2,1,19,0,27.9
1,11.1,1.5,82,5,1,21,0,12.2
9,21.5,3.2000000477,167,6,0,16,1,5.0999999046
0,19.6,0.9,37,1,1,8,1,68.9
0,15.4,1.6,59,4,1,5,1,16
4.4,18.3999996185,4.8000001907,3,4,1,7,1,30
0.4,14.3,2.8,43,1,1,19,0,5.7
7,9.4,4.3,126,4,1,5,1,14.1
